station,name,year,ann_max_snowf
USC00111577,Midway,1960,11
USC00111577,Midway,1961,10.2
USC00111577,Midway,1962,6.3
USC00111577,Midway,1963,8.8
USC00111577,Midway,1964,7.1
USC00111577,Midway,1965,6.5
USC00111577,Midway,1966,4.2
USC00111577,Midway,1967,16.4
USC00111577,Midway,1968,3.8
USC00111577,Midway,1969,9.6
USC00111577,Midway,1970,8.9
USC00111577,Midway,1971,7.1
USC00111577,Midway,1972,6.5
USC00111577,Midway,1973,8.3
USC00111577,Midway,1974,4.7
USC00111577,Midway,1975,9.4
USC00111577,Midway,1976,4.8
USC00111577,Midway,1977,6.9
USC00111577,Midway,1978,9.3
USC00111577,Midway,1979,16.5
USC00111577,Midway,1980,6
USC00111577,Midway,1981,8.2
USC00111577,Midway,1982,9.8
USC00111577,Midway,1983,6.3
USC00111577,Midway,1984,4.6
USC00111577,Midway,1985,5.7
USC00111577,Midway,1986,5.1
USC00111577,Midway,1987,8.6
USC00111577,Midway,1988,6.6
USC00111577,Midway,1989,3.7
USC00111577,Midway,1990,7.7
USC00111577,Midway,1991,5.9
USC00111577,Midway,1992,3.9
USC00111577,Midway,1993,4.6
USC00111577,Midway,1994,7.2
USC00111577,Midway,1995,4.3
USC00111577,Midway,1996,5.3
USC00111577,Midway,1997,5.8
USC00111577,Midway,1998,10.9
USC00111577,Midway,1999,17.6
USC00111577,Midway,2000,14.5
USC00111577,Midway,2001,5.4
USC00111577,Midway,2002,8.2
USC00111577,Midway,2003,3.7
USC00111577,Midway,2004,6.1
USC00111577,Midway,2005,10.2
USC00111577,Midway,2006,3.6
USC00111577,Midway,2007,9.7
USC00111577,Midway,2008,4.8
USC00111577,Midway,2009,5.2
USC00111577,Midway,2010,8.8
USC00111577,Midway,2011,11.9
USC00111577,Midway,2012,7.3
USC00111577,Midway,2013,9.4
USC00111577,Midway,2014,6.8
USC00111577,Midway,2015,17.2
USC00111577,Midway,2016,5.5
USC00111577,Midway,2017,6.3
USC00111577,Midway,2018,7.3
USC00111577,Midway,2019,6
USC00111577,Midway,2020,3
USC00116616,ParkForest,1960,7.2
USC00116616,ParkForest,1961,5
USC00116616,ParkForest,1962,6
USC00116616,ParkForest,1963,4.2
